Frame,Spot_ID,Ref_X,Ref_Y,Distorted_X,Distorted_Y,Shift_X,Shift_Y
1,0,460,460,323,463,-137,3
1,1,414,460,275,463,-139,3
1,2,368,460,462,461,94,1
1,3,322,460,417,461,95,1
1,4,276,460,233,461,-43,1
1,5,230,460,92,461,-138,1
1,6,184,460,366,460,182,0
1,7,138,460,181,460,43,0
1,8,92,460,139,458,47,-2
1,9,46,460,44,458,-2,-2
1,10,460,414,48,417,-412,3
1,11,414,414,324,416,-90,2
1,12,368,414,141,416,-227,2
1,13,322,414,413,415,91,1
1,14,276,414,369,415,93,1
1,15,230,414,181,415,-49,1
1,16,184,414,94,415,-90,1
1,17,138,414,273,413,135,-1
1,18,92,414,458,412,366,-2
1,19,46,414,230,412,184,-2
1,20,460,368,459,371,-1,3
1,21,414,368,323,371,-91,3
1,22,368,368,182,371,-186,3
1,23,322,368,47,371,-275,3
1,24,276,368,276,370,0,2
1,25,230,368,414,368,184,0
1,26,184,368,138,368,-46,0
1,27,138,368,90,368,-48,0
1,28,92,368,369,367,277,-1
1,29,46,368,233,366,187,-2
1,30,460,322,411,325,-49,3
1,31,414,322,319,325,-95,3
1,32,368,322,275,324,-93,2
1,33,322,322,137,324,-185,2
1,34,276,322,183,323,-93,1
1,35,230,322,45,323,-185,1
1,36,184,322,458,322,274,0
1,37,138,322,366,322,228,0
1,38,92,322,93,322,1,0
1,39,46,322,228,320,182,-2
1,40,460,276,321,279,-139,3
1,41,414,276,417,278,3,2
1,42,368,276,458,277,90,1
1,43,322,276,230,277,-92,1
1,44,276,276,183,277,-93,1
1,45,230,276,279,276,49,0
1,46,184,276,371,275,187,-1
1,47,138,276,91,274,-47,-2
1,48,92,276,135,273,43,-3
1,49,46,276,49,273,3,-3
1,50,460,230,370,233,-90,3
1,51,414,230,92,233,-322,3
1,52,368,230,461,232,93,2
1,53,322,230,320,232,-2,2
1,54,276,230,46,232,-230,2
1,55,230,230,278,231,48,1
1,56,184,230,186,228,2,-2
1,57,138,230,141,228,3,-2
1,58,92,230,412,227,320,-3
1,59,46,230,228,227,182,-3
1,60,460,184,321,187,-139,3
1,61,414,184,181,187,-233,3
1,62,368,184,414,186,46,2
1,63,322,184,463,185,141,1
1,64,276,184,367,185,91,1
1,65,230,184,93,185,-137,1
1,66,184,184,43,184,-141,0
1,67,138,184,279,182,141,-2
1,68,92,184,227,182,135,-2
1,69,46,184,137,181,91,-3
1,70,460,138,45,140,-415,2
1,71,414,138,186,138,-228,0
1,72,368,138,94,138,-274,0
1,73,322,138,457,137,135,-1
1,74,276,138,273,137,-3,-1
1,75,230,138,229,137,-1,-1
1,76,184,138,416,135,232,-3
1,77,138,138,368,135,230,-3
1,78,92,138,324,135,232,-3
1,79,46,138,139,135,93,-3
1,80,460,92,276,95,-184,3
1,81,414,92,320,94,-94,2
1,82,368,92,414,93,46,1
1,83,322,92,187,93,-135,1
1,84,276,92,366,92,90,0
1,85,230,92,137,90,-93,-2
1,86,184,92,461,89,277,-3
1,87,138,92,232,89,94,-3
1,88,92,92,92,89,0,-3
1,89,46,92,43,89,-3,-3
1,90,460,46,279,49,-181,3
1,91,414,46,322,48,-92,2
1,92,368,46,184,47,-184,1
1,93,322,46,90,46,-232,0
1,94,276,46,460,45,184,-1
1,95,230,46,232,45,2,-1
1,96,184,46,412,44,228,-2
1,97,138,46,368,44,230,-2
1,98,92,46,138,44,46,-2
1,99,46,46,48,44,2,-2
2,0,460,460,136,463,-324,3
2,1,414,460,44,462,-370,2
2,2,368,460,279,461,-89,1
2,3,322,460,230,461,-92,1
2,4,276,460,412,460,136,0
2,5,230,460,371,460,141,0
2,6,184,460,320,460,136,0
2,7,138,460,90,460,-48,0
2,8,92,460,184,458,92,-2
2,9,46,460,460,457,414,-3
2,10,460,414,414,417,-46,3
2,11,414,414,181,416,-233,2
2,12,368,414,138,416,-230,2
2,13,322,414,324,414,2,0
2,14,276,414,228,414,-48,0
2,15,230,414,276,413,46,-1
2,16,184,414,458,412,274,-2
2,17,138,414,369,412,231,-2
2,18,92,414,94,411,2,-3
2,19,46,414,47,411,1,-3
2,20,460,368,460,369,0,1
2,21,414,368,274,368,-140,0
2,22,368,368,412,367,44,-1
2,23,322,368,369,367,47,-1
2,24,276,368,319,367,43,-1
2,25,230,368,89,367,-141,-1
2,26,184,368,140,366,-44,-2
2,27,138,368,231,365,93,-3
2,28,92,368,183,365,91,-3
2,29,46,368,46,365,0,-3
2,30,460,322,322,325,-138,3
2,31,414,322,275,325,-139,3
2,32,368,322,181,325,-187,3
2,33,322,322,47,325,-275,3
